Raw Letters,Raw Values,time_idx,node_values,series
w,-1,655,-333,0
w,-1,656,-334,0
w,-1,657,-335,0
q,1,658,-334,0
w,-1,659,-335,0
q,1,660,-334,0
w,-1,661,-335,0
w,-1,662,-336,0
q,1,663,-335,0
w,-1,664,-336,0
w,-1,665,-337,0
w,-1,666,-338,0
w,-1,667,-339,0
w,-1,668,-340,0
w,-1,669,-341,0
q,1,670,-340,0
w,-1,671,-341,0
w,-1,672,-342,0
w,-1,673,-343,0
q,1,674,-342,0
w,-1,675,-343,0
w,-1,676,-344,0
w,-1,677,-345,0
w,-1,678,-346,0
w,-1,679,-347,0
q,1,680,-346,0
w,-1,681,-347,0
q,1,682,-346,0
w,-1,683,-347,0
w,-1,684,-348,0
w,-1,685,-349,0
w,-1,686,-350,0
w,-1,687,-351,0
w,-1,688,-352,0
w,-1,689,-353,0
q,1,690,-352,0
w,-1,691,-353,0
w,-1,692,-354,0
q,1,693,-353,0
w,-1,694,-354,0
q,1,695,-353,0
w,-1,696,-354,0
w,-1,697,-355,0
w,-1,698,-356,0
w,-1,699,-357,0
w,-1,700,-358,0
w,-1,701,-359,0
w,-1,702,-360,0
q,1,703,-359,0
w,-1,704,-360,0
q,1,705,-359,0
w,-1,706,-360,0
w,-1,707,-361,0
w,-1,708,-362,0
w,-1,709,-363,0
q,1,710,-362,0
w,-1,711,-363,0
w,-1,712,-364,0
q,1,713,-363,0
w,-1,714,-364,0
q,1,715,-363,0
w,-1,716,-364,0
w,-1,717,-365,0
q,1,718,-364,0
w,-1,719,-365,0
q,1,720,-364,0
w,-1,721,-365,0
w,-1,722,-366,0
w,-1,723,-367,0
w,-1,724,-368,0
w,-1,725,-369,0
w,-1,726,-370,0
w,-1,727,-371,0
q,1,728,-370,0
w,-1,729,-371,0
w,-1,730,-372,0
w,-1,731,-373,0
w,-1,732,-374,0
w,-1,733,-375,0
w,-1,734,-376,0
w,-1,735,-377,0
w,-1,736,-378,0
w,-1,737,-379,0
q,1,738,-378,0
w,-1,739,-379,0
q,1,740,-378,0
w,-1,741,-379,0
w,-1,742,-380,0
w,-1,743,-381,0
w,-1,744,-382,0
w,-1,745,-383,0
q,1,746,-382,0
w,-1,747,-383,0
q,1,748,-382,0
w,-1,749,-383,0
w,-1,750,-384,0
w,-1,751,-385,0
w,-1,752,-386,0
w,-1,753,-387,0
w,-1,754,-388,0
q,1,755,-387,0
w,-1,756,-388,0
w,-1,757,-389,0
q,1,758,-388,0
w,-1,759,-389,0
w,-1,760,-390,0
q,1,761,-389,0
w,-1,762,-390,0
w,-1,763,-391,0
w,-1,764,-392,0
w,-1,765,-393,0
w,-1,766,-394,0
w,-1,767,-395,0
w,-1,768,-396,0
w,-1,769,-397,0
w,-1,770,-398,0
q,1,771,-397,0
w,-1,772,-398,0
w,-1,773,-399,0
q,1,774,-398,0
w,-1,775,-399,0
w,-1,776,-400,0
w,-1,777,-401,0
w,-1,778,-402,0
q,1,779,-401,0
w,-1,780,-402,0
q,1,781,-401,0
w,-1,782,-402,0
w,-1,783,-403,0
w,-1,784,-404,0
w,-1,785,-405,0
w,-1,786,-406,0
w,-1,787,-407,0
w,-1,788,-408,0
w,-1,789,-409,0
q,1,790,-408,0
w,-1,791,-409,0
w,-1,792,-410,0
w,-1,793,-411,0
w,-1,794,-412,0
w,-1,795,-413,0
w,-1,796,-414,0
w,-1,797,-415,0
w,-1,798,-416,0
w,-1,799,-417,0
w,-1,800,-418,0
q,1,801,-417,0
w,-1,802,-418,0
q,1,803,-417,0
w,-1,804,-418,0
w,-1,805,-419,0
w,-1,806,-420,0
w,-1,807,-421,0
q,1,808,-420,0
w,-1,809,-421,0
q,1,810,-420,0
w,-1,811,-421,0
w,-1,812,-422,0
w,-1,813,-423,0
w,-1,814,-424,0
q,1,815,-423,0
w,-1,816,-424,0
w,-1,817,-425,0
w,-1,818,-426,0
q,1,819,-425,0
w,-1,820,-426,0
q,1,821,-425,0
w,-1,822,-426,0
w,-1,823,-427,0
q,1,824,-426,0
w,-1,825,-427,0
q,1,826,-426,0
w,-1,827,-427,0
q,1,828,-426,0
w,-1,829,-427,0
q,1,830,-426,0
w,-1,831,-427,0
w,-1,832,-428,0
w,-1,833,-429,0
q,1,834,-428,0
w,-1,835,-429,0
w,-1,836,-430,0
w,-1,837,-431,0
w,-1,838,-432,0
q,1,839,-431,0
w,-1,840,-432,0
q,1,841,-431,0
q,1,842,-430,0
q,1,843,-429,0
w,-1,844,-430,0
w,-1,845,-431,0
w,-1,846,-432,0
w,-1,847,-433,0
w,-1,848,-434,0
w,-1,849,-435,0
w,-1,850,-436,0
w,-1,851,-437,0
w,-1,852,-438,0
q,1,853,-437,0
w,-1,854,-438,0
w,-1,855,-439,0
w,-1,856,-440,0
w,-1,857,-441,0
q,1,858,-440,0
w,-1,859,-441,0
q,1,860,-440,0
w,-1,861,-441,0
w,-1,862,-442,0
w,-1,863,-443,0
q,1,864,-442,0
w,-1,865,-443,0
w,-1,866,-444,0
w,-1,867,-445,0
w,-1,868,-446,0
w,-1,869,-447,0
w,-1,870,-448,0
w,-1,871,-449,0
q,1,872,-448,0
w,-1,873,-449,0
q,1,874,-448,0
q,1,875,-447,0
w,-1,876,-448,0
w,-1,877,-449,0
q,1,878,-448,0
w,-1,879,-449,0
q,1,880,-448,0
w,-1,881,-449,0
w,-1,882,-450,0
w,-1,883,-451,0
w,-1,884,-452,0
q,1,885,-451,0
w,-1,886,-452,0
w,-1,887,-453,0
w,-1,888,-454,0
q,1,889,-453,0
w,-1,890,-454,0
w,-1,891,-455,0
w,-1,892,-456,0
w,-1,893,-457,0
w,-1,894,-458,0
w,-1,895,-459,0
w,-1,896,-460,0
w,-1,897,-461,0
w,-1,898,-462,0
w,-1,899,-463,0
w,-1,900,-464,0
w,-1,901,-465,0
w,-1,902,-466,0
w,-1,903,-467,0
w,-1,904,-468,0
q,1,905,-467,0
w,-1,906,-468,0
w,-1,907,-469,0
q,1,908,-468,0
w,-1,909,-469,0
w,-1,910,-470,0
w,-1,911,-471,0
q,1,912,-470,0
w,-1,913,-471,0
w,-1,914,-472,0
w,-1,915,-473,0
w,-1,916,-474,0
w,-1,917,-475,0
w,-1,918,-476,0
q,1,919,-475,0
w,-1,920,-476,0
q,1,921,-475,0
w,-1,922,-476,0
w,-1,923,-477,0
w,-1,924,-478,0
q,1,925,-477,0
w,-1,926,-478,0
w,-1,927,-479,0
w,-1,928,-480,0
q,1,929,-479,0
w,-1,930,-480,0
w,-1,931,-481,0
w,-1,932,-482,0
w,-1,933,-483,0
w,-1,934,-484,0
q,1,935,-483,0
w,-1,936,-484,0
q,1,937,-483,0
q,1,938,-482,0
q,1,939,-481,0
w,-1,940,-482,0
q,1,941,-481,0
w,-1,942,-482,0
q,1,943,-481,0
w,-1,944,-482,0
q,1,945,-481,0
w,-1,946,-482,0
w,-1,947,-483,0
w,-1,948,-484,0
w,-1,949,-485,0
q,1,950,-484,0
w,-1,951,-485,0
w,-1,952,-486,0
w,-1,953,-487,0
w,-1,954,-488,0
w,-1,955,-489,0
w,-1,956,-490,0
w,-1,957,-491,0
w,-1,958,-492,0
w,-1,959,-493,0
w,-1,960,-494,0
q,1,961,-493,0
w,-1,962,-494,0
q,1,963,-493,0
q,1,964,-492,0
w,-1,965,-493,0
q,1,966,-492,0
w,-1,967,-493,0
w,-1,968,-494,0
w,-1,969,-495,0
w,-1,970,-496,0
w,-1,971,-497,0
w,-1,972,-498,0
q,1,973,-497,0
w,-1,974,-498,0
q,1,975,-497,0
w,-1,976,-498,0
q,1,977,-497,0
w,-1,978,-498,0
w,-1,979,-499,0
w,-1,980,-500,0
w,-1,981,-501,0
w,-1,982,-502,0
w,-1,983,-503,0
w,-1,984,-504,0
q,1,985,-503,0
w,-1,986,-504,0
q,1,987,-503,0
w,-1,988,-504,0
w,-1,989,-505,0
q,1,990,-504,0
w,-1,991,-505,0
w,-1,992,-506,0
w,-1,993,-507,0
w,-1,994,-508,0
w,-1,995,-509,0
q,1,996,-508,0
w,-1,997,-509,0
q,1,998,-508,0
w,-1,999,-509,0
w,-1,1000,-510,0
w,-1,1001,-511,0
w,-1,1002,-512,0
w,-1,1003,-513,0
w,-1,1004,-514,0
w,-1,1005,-515,0
w,-1,1006,-516,0
q,1,1007,-515,0
w,-1,1008,-516,0
q,1,1009,-515,0
w,-1,1010,-516,0
w,-1,1011,-517,0
w,-1,1012,-518,0
w,-1,1013,-519,0
w,-1,1014,-520,0
w,-1,1015,-521,0
w,-1,1016,-522,0
q,1,1017,-521,0
w,-1,1018,-522,0
q,1,1019,-521,0
w,-1,1020,-522,0
w,-1,1021,-523,0
w,-1,1022,-524,0
w,-1,1023,-525,0
w,-1,1024,-526,0
w,-1,1025,-527,0
w,-1,1026,-528,0
w,-1,1027,-529,0
w,-1,1028,-530,0
w,-1,1029,-531,0
w,-1,1030,-532,0
q,1,1031,-531,0
w,-1,1032,-532,0
w,-1,1033,-533,0
w,-1,1034,-534,0
q,1,1035,-533,0
w,-1,1036,-534,0
w,-1,1037,-535,0
q,1,1038,-534,0
w,-1,1039,-535,0
w,-1,1040,-536,0
w,-1,1041,-537,0
w,-1,1042,-538,0
w,-1,1043,-539,0
q,1,1044,-538,0
w,-1,1045,-539,0
w,-1,1046,-540,0
w,-1,1047,-541,0
w,-1,1048,-542,0
w,-1,1049,-543,0
w,-1,1050,-544,0
w,-1,1051,-545,0
q,1,1052,-544,0
w,-1,1053,-545,0
w,-1,1054,-546,0
w,-1,1055,-547,0
w,-1,1056,-548,0
q,1,1057,-547,0
w,-1,1058,-548,0
q,1,1059,-547,0
w,-1,1060,-548,0
w,-1,1061,-549,0
w,-1,1062,-550,0
q,1,1063,-549,0
w,-1,1064,-550,0
w,-1,1065,-551,0
w,-1,1066,-552,0
w,-1,1067,-553,0
w,-1,1068,-554,0
w,-1,1069,-555,0
w,-1,1070,-556,0
w,-1,1071,-557,0
w,-1,1072,-558,0
w,-1,1073,-559,0
w,-1,1074,-560,0
w,-1,1075,-561,0
w,-1,1076,-562,0
w,-1,1077,-563,0
w,-1,1078,-564,0
w,-1,1079,-565,0
w,-1,1080,-566,0
w,-1,1081,-567,0
w,-1,1082,-568,0
w,-1,1083,-569,0
w,-1,1084,-570,0
w,-1,1085,-571,0
w,-1,1086,-572,0
w,-1,1087,-573,0
w,-1,1088,-574,0
w,-1,1089,-575,0
w,-1,1090,-576,0
w,-1,1091,-577,0
w,-1,1092,-578,0
w,-1,1093,-579,0
w,-1,1094,-580,0
w,-1,1095,-581,0
q,1,1096,-580,0
w,-1,1097,-581,0
w,-1,1098,-582,0
q,1,1099,-581,0
w,-1,1100,-582,0
w,-1,1101,-583,0
w,-1,1102,-584,0
w,-1,1103,-585,0
q,1,1104,-584,0
w,-1,1105,-585,0
w,-1,1106,-586,0
w,-1,1107,-587,0
